second,client_id,latency_ms,stall_count,total_stall_ms,buffer_ahead_sec,is_stalling
1,0,2403.924072265625,0,0,1.974,false
2,0,2403.924072265625,0,0,1.683,false
3,0,2403.924072265625,0,0,1.803,false
4,0,2403.924072265625,0,0,1.867,false
5,0,2403.924072265625,0,0,1.951,false
6,0,2403.924072265625,0,0,2.027,false
7,0,2403.924072265625,0,0,1.746,false
8,0,2403.924072265625,0,0,1.832,false
9,0,2403.924072265625,0,0,1.937,false
10,0,2403.924072265625,0,0,1.995,false
11,0,2403.924072265625,0,0,1.749,false
12,0,2403.924072265625,0,0,0.746,false
13,0,2403.924072265625,1,0,0.045,true
14,0,2403.924072265625,1,1228,0.702,false
15,0,2403.924072265625,1,1228,2.171,false
16,0,3150.963623046875,1,1228,2.211,false
17,0,3150.963623046875,1,1228,2.933,false
18,0,3150.963623046875,1,1228,1.945,false
19,0,3150.963623046875,1,1228,2.341,false
20,0,3150.963623046875,1,1228,2.341,false
21,0,3150.963623046875,1,1228,2.341,false
22,0,3150.963623046875,1,1228,2.341,false
23,0,3150.963623046875,1,1228,2.341,false
24,0,3150.963623046875,1,1228,2.341,false
25,0,3150.963623046875,1,1228,2.341,false
26,0,3150.963623046875,1,1228,2.341,false
27,0,3150.963623046875,1,1228,2.341,false
28,0,3150.963623046875,1,1228,2.341,false
29,0,3150.963623046875,1,1228,2.341,false
30,0,3150.963623046875,1,1228,2.341,false
1,1,2683.823974609375,0,0,1.835,false
2,1,2683.823974609375,0,0,1.887,false
3,1,2683.823974609375,0,0,1.921,false
4,1,2683.823974609375,0,0,2.052,false
5,1,2683.823974609375,0,0,1.860,false
6,1,2683.823974609375,0,0,1.938,false
7,1,2683.823974609375,0,0,1.948,false
8,1,2683.823974609375,0,0,1.736,false
9,1,2683.823974609375,0,0,1.834,false
10,1,2683.823974609375,0,0,1.899,false
11,1,2683.823974609375,0,0,1.933,false
12,1,2683.823974609375,0,0,1.385,false
13,1,2683.823974609375,0,0,0.373,false
14,1,2683.823974609375,1,0,0.064,true
15,1,2683.823974609375,1,1263,2.104,false
16,1,2683.823974609375,1,1263,2.880,false
17,1,3187.363525390625,1,1263,2.092,false
18,1,3187.363525390625,1,1263,2.544,false
19,1,3187.363525390625,1,1263,2.675,false
20,1,3187.363525390625,1,1263,2.675,false
21,1,3187.363525390625,1,1263,2.675,false
22,1,3187.363525390625,1,1263,2.675,false
23,1,3187.363525390625,1,1263,2.675,false
24,1,3187.363525390625,1,1263,2.675,false
25,1,3187.363525390625,1,1263,2.675,false
26,1,3187.363525390625,1,1263,2.675,false
27,1,3187.363525390625,1,1263,2.675,false
28,1,3187.363525390625,1,1263,2.675,false
29,1,3187.363525390625,1,1263,2.675,false
30,1,3187.363525390625,1,1263,2.675,false
1,2,3243.768798828125,1,1256,2.888,false
2,2,3243.768798828125,1,1256,2.596,false
3,2,3243.768798828125,1,1256,1.937,false
4,2,3243.768798828125,1,1256,2.004,false
5,2,3243.768798828125,2,1284,2.424,false
6,2,3243.768798828125,2,1284,2.513,false
7,2,3243.768798828125,2,1284,2.237,false
8,2,3243.768798828125,2,1284,2.326,false
9,2,3243.768798828125,2,1284,1.981,false
10,2,3243.768798828125,2,1284,2.138,false
11,2,3243.768798828125,2,1284,2.591,false
12,2,3243.768798828125,2,1284,1.953,false
13,2,3243.768798828125,2,1284,2.041,false
14,2,3243.768798828125,2,1284,2.491,false
15,2,3243.768798828125,2,1284,2.218,false
16,2,3243.768798828125,2,1284,1.941,false
17,2,3243.768798828125,2,1284,2.757,false
18,2,3243.768798828125,2,1284,2.084,false
19,2,3243.768798828125,2,1284,2.207,false
20,2,3243.768798828125,2,1284,2.207,false
21,2,3243.768798828125,2,1284,2.207,false
22,2,3243.768798828125,2,1284,2.207,false
23,2,3243.768798828125,2,1284,2.207,false
24,2,3243.768798828125,2,1284,2.207,false
25,2,3243.768798828125,2,1284,2.207,false
26,2,3243.768798828125,2,1284,2.207,false
27,2,3243.768798828125,2,1284,2.207,false
28,2,3243.768798828125,2,1284,2.207,false
29,2,3243.768798828125,2,1284,2.207,false
30,2,3243.768798828125,2,1284,2.207,false
1,3,3240.86865234375,1,1263,2.109,false
2,3,3240.86865234375,1,1263,2.473,false
3,3,3240.86865234375,1,1263,2.629,false
4,3,3240.86865234375,1,1263,2.016,false
5,3,3240.86865234375,1,1263,2.125,false
6,3,3240.86865234375,1,1263,2.518,false
7,3,3240.86865234375,1,1263,2.246,false
8,3,3240.86865234375,1,1263,1.978,false
9,3,3240.86865234375,1,1263,2.785,false
10,3,3240.86865234375,1,1263,2.122,false
11,3,3240.86865234375,1,1263,2.243,false
12,3,3240.86865234375,1,1263,2.670,false
13,3,3240.86865234375,1,1263,2.033,false
14,3,3240.86865234375,1,1263,2.121,false
15,3,3240.86865234375,1,1263,2.575,false
16,3,3240.86865234375,1,1263,2.226,false
17,3,3240.86865234375,1,1263,2.719,false
18,3,3240.86865234375,1,1263,2.755,false
19,3,3240.86865234375,1,1263,2.755,false
20,3,3240.86865234375,1,1263,2.755,false
21,3,3240.86865234375,1,1263,2.755,false
22,3,3240.86865234375,1,1263,2.755,false
23,3,3240.86865234375,1,1263,2.755,false
24,3,3240.86865234375,1,1263,2.755,false
25,3,3240.86865234375,1,1263,2.755,false
26,3,3240.86865234375,1,1263,2.755,false
27,3,3240.86865234375,1,1263,2.755,false
28,3,3240.86865234375,1,1263,2.755,false
29,3,3240.86865234375,1,1263,2.755,false
